"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Confidence","Source","Evidence"
"无人机反制系统 采购( 中标公告","北京","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://bj.bidizhaobiao.com/info-715431177.html","无人机反制系统 采购( 中标公告 )-北京招标网 2025年12月1日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.项目所在地:北京 项目类别:物资 采购方式:公开招标 我部对 无人机反 ... bj.bidizhaobiao.com 反馈"
"无人机反制系统 设备采购项目采购结果公示(2026-JLJFEC-W1001)_ 中标 ... 2026年3月25日","公开信息未披露","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年3月25日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_7ecc2fca91799410860f6baa0ac780d5.html","无人机反制系统 设备采购项目采购结果公示(2026-JLJFEC-W1001)_ 中标 ... 2026年3月25日 - 受业主委托,招标网 中标公告 日历频道于2026年03月25日发布了 无人机反制系统 设备采购项目采购结果公示(2026-JLJFEC-W1001),项目详情:我部对 无人机反制系 ... rl.zhaobiao.cn 反馈"
"无人机反制 设备采购项目 中标 (成交)结果 公告","公开信息未披露","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月19日","B-公开转载","https://wap.qianlima.com/zb/detail/20251219_564337131.html","无人机反制 设备采购项目 中标 (成交)结果 公告 - 千里马招标网 2025年12月19日 - 合同包号 合同包名称 代理服务费金额(万元) 收取对象 1 无人机 反制设备采购项目 4.21 中标 (成交)供应商 七、 公告 期限.合同包1( 无人机 反制设备采购项目... wap.qianlima.com 反馈"
"某单位采购无人机反制设备项目","北京","公共安全/军警安防","或采购代理机构提出","公开信息未披露",,"公开信息未披露","2024-08-30","B-公开转载","https://www.zhiliaobiaoxun.com/detail/448113967b2E1A03245c.html","某单位采购 无人机反制设备 项目 中标 候选人公示_广东 中标 -知了标讯 2024年8月30日 - 中标 候选人 无人机反制设备 项目基本信息.四、凡对本次 公告 内容提出询问,请按以下方式联系。... www.zhiliaobiaoxun.com 反馈"
"柯桥区 无人机反制设备 采购 中标 成交结果 公告","浙江","重大活动保障","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年11月21日","B-公开转载","https://zj.bidcenter.com.cn/zbcontent-390623194-4.html","柯桥区 无人机反制设备 采购 中标 成交结果 公告 -浙江招标网 2025年11月21日 - 二、项目名称: (略) (略) (略) 无人机 反制设备采购.1.各参加政府采购活动的供应商认为该 中标 /成交结果和采购过程等使自己的权益受到损害的,可以自本 公 ... zj.bidcenter.com.cn 反馈"
"某部采购 无人机反制设备 ( 中标公告","内蒙古","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://nmg.bidizhaobiao.com/info-715218996.html","某部采购 无人机反制设备 ( 中标公告 )-内蒙古招标网 2025年12月1日 - 一、项目名称:某部采购 无人机 反制设备.企业报告(供应商版)1、帮助您分析同行或者自身的 中标 金额趋势、项目规模和报价下浮率,为企业投标、报价提供参考... nmg.bidizhaobiao.com 反馈"
"无人机 及 无人机反制设备 采购项目 中标公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月27日","B-公开转载","https://www.bidcenter.com.cn/news-403044302-4.html","无人机 及 无人机反制设备 采购项目 中标公告 -采招网 2026年1月27日 - 查看附件 无人机 及无人机 反制 设备采购项目采购文件.docx.通过数据统计分析,按月度提供全国近一年的采购 中标 金额的变化趋势分布情况.二、项目名称: 无人 ... www.bidcenter.com.cn 反馈"
"2024年无人机侦测反制设备采购项目中标公告","北京","公共安全/军警安防","公开信息未披露","公开信息未披露",,"社会信用代码","2024-07-29","B-公开转载","https://www.zhiliaobiaoxun.com/detail/444740462b2E5CE70DEa.html","2024年 无人机 侦测 反制设备 采购项目 中标公告 _江苏中标-知了标讯 2024年7月29日 - 无人机 侦测 反制设备 基本信息.南京金护警用装备有限公司 中标 联系人.二、项目名称:2024年无人机侦测 反制设备 采购项目... www.zhiliaobiaoxun.com 反馈"
"无人机反制设备 采购结果公告(2025-JKFDLB-W3023)(第1包)_陕西中标-... 2025年12月17日","天津","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月17日","B-公开转载","https://www.zhiliaobiaoxun.com/detail/495198984b24e40eaabd.html","无人机反制设备 采购结果公告(2025-JKFDLB-W3023)(第1包)_陕西中标-... 2025年12月17日 - 一、项目名称: 无人机 反制设备采购.第一名:天津云翔 无人机 科技有限公司(最终报价264900元)... www.zhiliaobiaoxun.com 反馈"
"无人机反制设备 采购 中标 结果 公告","公开信息未披露","侦测反制服务/租赁","无人机反制设备 采购 中标 结果 公告 无人机反制设备 采购 中标 结果 公告 2026年5月7日 - [ 中标 结果]贵阳市公安局","公开信息未披露",,"公开信息未披露","2026年5月7日","B-公开转载","https://www.okcis.cn/20260507-n3-20260507234734360225.html","无人机反制设备 采购 中标 结果 公告 2026年5月7日 - [ 中标 结果]贵阳市公安局南明分局关于车辆维修和保养服务的定点采购馆采购项目合同履约验收 公告 (编...2026-05-11.招标采购导航网 中标 结果公示栏目,于20... www.okcis.cn 反馈"
"盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日","江苏","公共安全/军警安防","盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日 盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日 - 项目简介:时间:2019/4/12盐城市公安局","公开信息未披露",,"江苏大能智能科技有限公司","2019年4月12日","B-公开转载","http://www.qianlima.com/zb/detail/20190412_124822681.html","盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日 - 项目简介:时间:2019/4/12盐城市公安局 无人机 及 反制设备 采购成交结果公告 分包一: 1、成交单位:江苏大能智能科技有限公司 2、 成交金额 :382224元; 3、主... www.qianlima.com 反馈"
"购买 无人机反制设备 ( 中标公告","陕西省","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://shaanxi.bidizhaobiao.com/info-717597249.html","购买 无人机反制设备 ( 中标公告 )-陕西招标网 2025年12月1日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.项目所在地:陕西省 项目类别:物资 采购方式:询价 我部对购买 无人机 ... shaanxi.bidizhaobiao.com 反馈"
"无人机反制设备 采购 中标公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年6月10日","B-公开转载","https://www.bidcenter.com.cn/newscontent-360279871-4.html","无人机反制设备 采购 中标公告 -采招网 2025年6月10日 - 九、凡对本次 公告 内容提出询问,请按以下方式联系。.受业主委托,中国采招网于 2025/6/10 发布 无人机反制设备 采购 中标公告 ;项目简介: 中标结果公告 一、... www.bidcenter.com.cn 反馈"
"某部无人机反制装备采购项目中标结果公告","北京","公共安全/军警安防","某部","公开信息未披露",,"中国联合网络通信有限公司西双版纳傣族自治州分公司","2024年12月18日","B-公开转载","https://www.jianyu360.cn/article/bdprivate/BGFMiE8dnNJYQgxNF47NCMKH3FlXU8OWRYgPBk3CgJVQ3R1JwpcCG0%3D.html","某部 无人机反制 装备采购项目 中标 结果 公告 - 剑鱼标讯 2024年12月18日 - 跳过某部 无人机 反制装备采购项目 中标 结果公告.项目名称 某部 无人机 反制装备采购项目 中标 结果公示附件... www.jianyu360.cn 反馈"
"•某部 无人机反制 装备采购项目 中标 结果 公告","公开信息未披露","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年1月8日","B-公开转载","https://www.zhaobiaoziyuan.com/detail/677e4b19044491747fb1370a.html","•某部 无人机反制 装备采购项目 中标 结果 公告 _招标资源网 2025年1月8日 - 二、项目名称:某部 无人机 反制装备采购项目.招标资源网提供•某部 无人机反制 装备采购项目 中标 结果 公告 的项目详情,进一步了解项目详细信... 货物单价(元... www.zhaobiaoziyuan.com 反馈"
"无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日","公开信息未披露","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年3月24日","B-公开转载","https://www.okcis.cn/20260324-n3-20260324160318206335.html","无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日 - 我部对 无人机 反制系统采购项目采购项目进行了公开招标采购,现就供应商评审排名及预 中标 (成交)结果公示如下:.[ 中标 结果]中国共产党安龙县纪律检查委员... www.okcis.cn 反馈"
"某部 无人机反制 装备采购项目 中标公告","公开信息未披露","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2025年1月8日","B-公开转载","https://m.zhaobiao.cn/zb/succeed_v_01edfc6375743b888c1d8c49187c29bc.html","某部 无人机反制 装备采购项目 中标公告 _招标网 2025年1月8日 - 公告 概要: 公告 信息: 采购项目名称 某部 无人机 反制装备采购项目 品目 货物/ 设备 /通信设备/无线电通信 设备 /无线电反制设备 采购单位 某部 行政区域 * ... m.zhaobiao.cn 反馈"
"2024年 无人机 侦测 反制 设备采购项目 中标公告","公开信息未披露","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2024年7月29日","B-公开转载","https://www.bidcenter.com.cn/news-300266484-4.html","2024年 无人机 侦测 反制 设备采购项目 中标公告 -采招网 2024年7月29日 - 《采购包1(南京 (略) )企业报价折扣证明》.pdf2024年 无人机 侦测 反制 设备采购项目采购文件.doc您正在试用 中标 通 服务( 限次试用 ).受业主委托,... www.bidcenter.com.cn 反馈"
"无人机反制 设备采购项目的 中标 (成交)结果 公告","公开信息未披露","重大活动保障","公开信息未披露","公开信息未披露",,"公开信息未披露","2021年7月16日","B-公开转载","https://www.bidcenter.com.cn/newscontent-136359456-4.html","无人机反制 设备采购项目的 中标 (成交)结果 公告 -采招网 2021年7月16日 - 二、项目名称: 无人机反制 设备采购项目.1.各参加政府采购活动的供应商认为该 中标 /成交结果和采购过程等使自己的权益受到损害的,可以自本 公告 ... www.bidcenter.com.cn 反馈"
"中国电信 中标 结果: 太湖之鹰 无人机 及 反制 设备采购项目 中标公告 _股票... 2024年11月26日","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"社会信用代码","2024年11月26日","B-公开转载","https://stock.stockstar.com/RB2024112600036112.shtml","中国电信 中标 结果: 太湖之鹰 无人机 及 反制 设备采购项目 中标公告 _股票... 2024年11月26日 - 二、项目名称: 太湖之鹰 无人机 及 反制 设备采购项目.序号 供应商名称 社会信用代码 供应商地址 评审总得分 中标 /成交金额 1 中国电信股份有限公... stock.stockstar.com 反馈"
"无人机反制 服务项目的 中标 (成交)结果 公告","上海","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"中标","2022年1月17日","B-公开转载","https://www.bidcenter.com.cn/news-163940117-4.html","无人机反制 服务项目的 中标 (成交)结果 公告 -采招网 2022年1月17日 - 查看序号 标项名称 中标 (成交金额) 中标 供应商名称 中标 供应商地址 1 无人机反制 服务 * .00元 上海寻 (略)上海市浦东新区秀浦路 * 号11栋3楼 四... www.bidcenter.com.cn 反馈"
"陡河水库 无人机反制系统 双盲评审公开招标 中标公告","公开信息未披露","侦测反制系统/平台","唐山市陡河水库事务中心","公开信息未披露",,"公开信息未披露","2025年6月19日","B-公开转载","https://www.bidcenter.com.cn/news-362127167-4.html","陡河水库 无人机反制系统 双盲评审公开招标 中标公告 -采招网 2025年6月19日 - 唐山市陡河水库事务中心陡河水库 无人机反制系统 (双盲评审)公开招标 中标公告 2025-06-19.Z1302002503172001陡河水库无人机反制系统(二次)(双盲... www.bidcenter.com.cn 反馈"
"钦州市某单位采购 无人机反制设备 ( 中标公告","广西","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"广西正阳科技发展有限公司","2025年12月1日","B-公开转载","https://gx.bidizhaobiao.com/info-736635266.html","钦州市某单位采购 无人机反制设备 ( 中标公告 )-广西招标网 2025年12月1日 - 一、项目名称:钦州市某单位采购 无人机 反制设备.广西正阳科技发展有限公司商务条款响应售后服务中 中标 供应商提供24小时售后服务,自接到故障通知后一小... gx.bidizhaobiao.com 反馈"
"黔东南州公安局采购无人机及无人机反制设备中标（成交）公告","北京","公共安全/军警安防","贵州省黔东南苗族侗族自治州公安局","公开信息未披露",,"中标","2025年11月7日","B-公开转载","https://www.bid110.com/view/461/WMJSXJoBg7S5K-631FlI.html","黔东南州公安局采购 无人机 及 无人机反制设备中标 (成交) 公告 _招标详情 2025年11月7日 - 序号 标项名称 规格型号 数量 单位 单价(元) 评审价(元) 总价(元) 中标 供应商名称 中标 供应商地址 中标 供应商统一社会信用代码 1 黔东南州公安局采购 ... www.bid110.com 反馈"
"特种指挥车辆及 无人机反制设备中标 成交结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月6日","B-公开转载","https://www.bidcenter.com.cn/news-399071504-4.html","特种指挥车辆及 无人机反制设备中标 成交结果 公告 -采招网 2026年1月6日 - 二、项目名称:特种指挥车辆及 无人机 反制设备.供应商名称 供应商地址 评审方法 是否价格扣除 中标 (成交)金额 评审总得分 内蒙 (略) 内蒙 (略) (略) (略... www.bidcenter.com.cn 反馈"
"无人机反制枪采购项目","**省","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年07月29日","B-公开转载","https://www.qianlima.com/bid-526557419.html","无人机反制 枪采购项目采购结果公示(2025-JHBDDE-W4004)-千里马招标网 2025年7月29日 - 我部对 无人机 反制枪采购项目采购项目进行了询价采购,现就供应商评审排名及预 中标 (成交)结果公示如下:. 无人机 反制枪采购项目招标 公告 (2025-JHBDDE-W400... www.qianlima.com 反馈"
"某部 无人机 及 反制 设备采购项目 中标 结果公示-黑龙江招标网 2025年7月31日","黑龙江","公共安全/军警安防","*.受业主委托","公开信息未披露",,"公开信息未披露","2025年7月31日","B-公开转载","https://hlj.bidcenter.com.cn/zbcontent-370836117-4.html","某部 无人机 及 反制 设备采购项目 中标 结果公示-黑龙江招标网 2025年7月31日 - 黑龙***公司登陆后查看免费检测该单位 中标 情况:设置 中标 提醒招标业主单位:*.受业主委托,黑龙江招标网于2025/7/31发布某部 无人机 及 反制 设备采购项目 中 ... hlj.bidcenter.com.cn 反馈"
"墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日","新疆","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月17日","B-公开转载","https://www.bidcenter.com.cn/news-396480806-4.html","墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日 - 二、项目名称: 墨玉县某单位 无人机 及反制设备采购项目(二次).序号 供应商名称 供应商地址 中标 (成交)金额 评审总得分 1 新疆 (略) 新疆乌鲁木 (略) ( ... www.bidcenter.com.cn 反馈"
"无人机反制 设备租赁服务( 中标公告","山东","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年1月3日","B-公开转载","https://sd.bidizhaobiao.com/info-579941578.html","无人机反制 设备租赁服务( 中标公告 )-山东招标网 2025年1月3日 - 二、合同 名称 :无人机 反制 设备租赁服务.主要标的 名称 规格型号(或服务要求)主要标的数量主要标的单价合同 金额 (万元). 供应商 (乙方):山东辰浩宏源智能科技... sd.bidizhaobiao.com 反馈"
"连云港市公安局车载式 无人机反制 系统购买 中标公告","公开信息未披露","公共安全/军警安防","连云港市公安局","公开信息未披露",,"公开信息未披露","2024年7月24日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_d9ae765e6dcddd84ca292b40981d71ec.html","连云港市公安局车载式 无人机反制 系统购买 中标公告 采购包1_招标日历_... 2024年7月24日 - 部分信息 一、项目编号:*二、项目 名称 :*局车载式 无人机 反制系统购买 三、 中标 (成交)信息 序号 供应商 名称社会信用代码供应商地址评审总得分 中标 /成交金... rl.zhaobiao.cn 反馈"
"克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告","新疆","公共安全/军警安防","克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告 克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告 )-新疆招标网 2025年12月1日 - 二、合同 名称 :克州GAJ(特警支队) 无人机 反制侦测相关设备采购项目合同. 供应商 (乙方):新疆尚维飞创电子科技有限公司.四、项目 名称 :克州GAJ(特警支队","公开信息未披露",,"新疆尚维飞创电子科技有限公司","2025年12月1日","B-公开转载","https://xj.bidizhaobiao.com/info-599920271.html","克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告 )-新疆招标网 2025年12月1日 - 二、合同 名称 :克州GAJ(特警支队) 无人机 反制侦测相关设备采购项目合同. 供应商 (乙方):新疆尚维飞创电子科技有限公司.四、项目 名称 :克州GAJ(特警支队) 无 ... xj.bidizhaobiao.com 反馈"
"介休市公安局 无人机 及 无人机反制 设备采购( 中标公告","山西","公共安全/军警安防","介休市公安局","公开信息未披露",,"公开信息未披露","2025年7月16日","B-公开转载","https://shanxi.bidizhaobiao.com/info-651819174.html","介休市公安局 无人机 及 无人机反制 设备采购( 中标公告 )-山西招标网 2025年7月16日 - 序号 标项 名称 标的 名称 品牌 规格型号 数量 单价 1 介休市公安局 无人机 及无人机反制设备采购 介休市公安局 无人机 及无人机反制设备采购 详见附件报价... shanxi.bidizhaobiao.com 反馈"
"河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告","河北","公共安全/军警安防","河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告 河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告 2019年12月31日 - 受河北省冀中监狱的委托,就 河北省冀中监狱","公开信息未披露",,"公开信息未披露","2019年12月31日","B-公开转载","https://www.okcis.cn/20191231-n3-20191231191131566667-45e8bad49b3ff41ebb27b28ec92eff6e.html","河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告 2019年12月31日 - 受河北省冀中监狱的委托,就 河北省冀中监狱 无人机 侦测反制设备采购项目 项目(项目编号:Z52001)组织采购,评标工作已经结束, 中标 结果如下:一、项目信息... www.okcis.cn 反馈"
"乌什县公安局购买 无人机反制 装备采购项目(二次) 中标 (成交)结果 公告","新疆","公共安全/军警安防","乌什县公安局购买 无人机反制 装备采购项目(二次) 中标 (成交)结果 公告 乌什县公安局","公开信息未披露",,"公开信息未披露","2024年9月27日","B-公开转载","https://xinjiang.zhaobiao.cn/succeed_v_100563878.html","乌什县公安局购买 无人机反制 装备采购项目(二次) 中标 (成交)结果 公告 2024年9月27日 - 请 中标 单位及时与业主相关负责人联系,及时签署相关商务合同;未 中标 供应商也可及时向业主提出相关质疑.一、项目编号:XJHD-****-*** 二、项目 名称 :*局购... xinjiang.zhaobiao.cn 反馈"
"大兴安岭边境管理支队 无人机反制 设备采购项目( 中标公告","黑龙江","公共安全/军警安防","大兴安岭边境管理支队","公开信息未披露",,"公开信息未披露","2024年9月19日","B-公开转载","https://hlj.bidizhaobiao.com/info-532368962.html","大兴安岭边境管理支队 无人机反制 设备采购项目( 中标公告 )-黑龙江招标网 2024年9月19日 - 中华人民共和国黑龙江省出入境边防检查总站大兴安岭边境管理支队大兴安岭边境管理支队 无人机 反制设备采购项目成交 公告 .序号 供应商名称 货物 名称 货物... hlj.bidizhaobiao.com 反馈"
"关于无人机侦测反制设备采购项目","北京","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月14日","B-公开转载","https://www.zhiliaobiaoxun.com/detail/494886464b2e65eaeaed.html","关于 无人机 侦测 反制 设备采购项目的 成交 结果_中标-知了标讯 2025年12月14日 - 于2025-12-14发布中标 公告 -关于 无人机 侦测 反制 设备采购项目的成交结果,采购 无人机 侦测 反制 设... 序号 成交 供应商名称 成交供应商地址 成交金额 (元) 1 ... www.zhiliaobiaoxun.com 反馈"
"无人机反制设备采购竞价成交公告","北京","公共安全/军警安防","新疆维吾尔自治区巴音郭楞某单位","公开信息未披露",,"新疆轩志信息科技有限公司","2025年02月25日","B-公开转载","https://www.jianyu360.cn/article/bdprivate/BVrMiE7ZXMBZQ4oJCc7NCMKH3FlXU8OWRYgKyMjBwJVeXZ1IApcB%2BA%3D.html","无人机反制 设备采购竞价 成交公告 - 剑鱼标讯 2025年2月25日 - 无人机反制 设备采购竞价 成交公告 ,采购单位:新疆维吾尔自治区巴音郭楞某单位, 成交供应 商 :新疆轩志信息科技有限公司, 公告 日期:2025年02月25日,查看该项... www.jianyu360.cn 反馈"
"无人机反制器材竞价成交公告","北京","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年08月14日","B-公开转载","https://www.zhiliaobiaoxun.com/article/73683688","无人机反制 器材竞价 成交公告 2025年8月14日 - 项目 名称 无人机 反制 器材.序号 成交 供应商 名称 成交供应商地址 成交 金额(元).采购单位 某单位 采购单位联系人 经办人 联系方式 公告 结束后显示... www.zhiliaobiaoxun.com 反馈"
"无人机反制 设备竞价 成交公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月7日","B-公开转载","https://www.okcis.cn/20260107-n3-20260107180632501265.html","无人机反制 设备竞价 成交公告 -1 2026年1月7日 - 项目 名称 :无人机 反制 设备.招标采购导航网中标结果公示栏目,于2026年01月07日为您发布 无人机反制 设备竞价 成交公告 -1,内... 成交 供应商名称 、联系地址及 ... www.okcis.cn 反馈"
"东营机场 无人机反制 设备采购项目( 中标公告","山东","机场净空/重点空域","东营机场 无人机反制 设备采购项目( 中标公告 东营机场 无人机反制 设备采购项目( 中标公告 )-山东招标网 2024年12月9日 - 标题 名称 东营机场 无人机 反制设备采购项目成交 公告 项目编号 SDYT2024-089# 有效起始日期 2024-12-09 有效截止日期 2024-12-10 一、项目 名称 :东营机场","公开信息未披露",,"公开信息未披露","2024年12月9日","B-公开转载","https://sd.bidizhaobiao.com/info-567616680.html","东营机场 无人机反制 设备采购项目( 中标公告 )-山东招标网 2024年12月9日 - 标题 名称 东营机场 无人机 反制设备采购项目成交 公告 项目编号 SDYT2024-089# 有效起始日期 2024-12-09 有效截止日期 2024-12-10 一、项目 名称 :东营机场... sd.bidizhaobiao.com 反馈"
"安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告","安徽","侦测反制服务/租赁","安徽铁塔池州市分公司","公开信息未披露",,"公开信息未披露","2024年12月3日","B-公开转载","http://ah.bidizhaobiao.com/info-564361601.html","安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告 )-安徽招标网 2024年12月3日 - 二、项目 名称 :安徽铁塔池州市分公司 无人机 反制服务项目(第二次).对 安徽铁塔池州市分公司 无人机反制 服务项目(第二次) 进行国内公开比选 转定向谈判 。... ah.bidizhaobiao.com 反馈"
"海盐县公安局 无人机反制 设备采购项目( 中标公告","浙江","公共安全/军警安防","海盐县公安局","公开信息未披露",,"公开信息未披露","2024年11月20日","B-公开转载","http://zj.bidizhaobiao.com/info-557598739.html","海盐县公安局 无人机反制 设备采购项目( 中标公告 )-浙江招标网 2024年11月20日 - 序号 标项 名称 标的 名称 品牌 数量 单价(元) 规格型号 1 海盐县公安局 无人机 反制设备采购项目 海盐县公安局 无人机 反制设备采购项目 详见附件 1 849000... zj.bidizhaobiao.com 反馈"
"无人机反制 车租赁项目 中标 结果公示-采招网 2026年1月5日","公开信息未披露","侦测反制服务/租赁","西安咸阳国际机场股份有限公司","公开信息未披露",,"中国采招网于2026年01月05日发布西安咸阳国际机场股份有限公司","2026年1月5日","B-公开转载","https://www.bidcenter.com.cn/news-398824934-4.html","无人机反制 车租赁项目 中标 结果公示-采招网 2026年1月5日 - 通过数据统计分析,按月度提供全国近一年的采购 中标 金额的变化趋势分布情况.受业主委托,中国采招网于2026年01月05日发布西安咸阳国际机场股份有限公司 ... www.bidcenter.com.cn 反馈"
"无人机反制 设备项目( 中标公告","北京","侦测反制装备","公开信息未披露","38800.00 (元)",,"北京中宇万通科技股份有限公司","2025年12月1日","B-公开转载","https://shaanxi.bidizhaobiao.com/info-729987342.html","无人机反制 设备项目( 中标公告 )-陕西招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 :.第一名:北京中宇万通科技股份有限公司 ,报价形式:总价 ,报价 金额 :38800.00 (元) ;. 供应商 对预中标(成交)结果如有异议,应当自... shaanxi.bidizhaobiao.com 反馈"
"某部 无人机反制 系统采购项目( 中标公告","黑龙江","公共安全/军警安防","某部","公开信息未披露",,"福建灵信信息科技有限公司","2024年12月5日","B-公开转载","https://hlj.bidizhaobiao.com/info-565506186.html","某部 无人机反制 系统采购项目( 中标公告 )-黑龙江招标网 2024年12月5日 - 预成交 供应商 :福建灵信信息科技有限公司. 无人机反制 系统采购项目 采购结果 公告 一、 项目 名称 :某部 无人机反制 系统采购项目 二、项目编... 预成交 供应 ... hlj.bidizhaobiao.com 反馈"
"无人机反制 设备采购 中标公告","山东","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年6月18日","B-公开转载","https://www.ixbang.com/bid/detail/71B296DEC8E3C114AF9705DA0CA65FAB.html","无人机反制 设备采购 中标公告 -销邦招标平台 2025年6月18日 - 销邦招标平台于2025年06月18日发布 无人机反制 设备采购 中标公告 ;项目简介:详情见附件 详情见附件 无人机反制 设备采购 中标公告 中标结果山东烟台2025-0... www.ixbang.com 反馈"
"无人机反制 设备采购( 中标公告","陕西","侦测反制装备","公开信息未披露","236000.00 (元)",,"云上筋斗(南京)科技有限公司","2025年12月1日","B-公开转载","https://shaanxi.bidizhaobiao.com/info-745858052.html","无人机反制 设备采购( 中标公告 )-陕西招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 :.第一名:云上筋斗(南京)科技有限公司 ,报价形式:总价 ,报价 金额 :236000.00 (元) ;. 供应商 对预中标(成交)结果如有异议,应当自... shaanxi.bidizhaobiao.com 反馈"
"低空安全防控无人机反制服务租赁项目中标/成交公告","北京","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"******","2022年08月22日","B-公开转载","https://www.chinamae.com/purchases/6bdbd3d5e462adc0d5d6ffe25a969f59","低空安全防控 无人机反制 服务租赁项目中标/成交公告- 中标公告 -机电设备... 2022年9月5日 - 低空安全防控 无人机反制 服务租赁项目 中标 /成交 公告 - 中标公告 采购信息,招标信息,机电设备采购平台 欢迎您来到机电设备采购平台! www.chinamae.com 反馈"
"无人机反制 设备采购项目( 中标公告","安徽","侦测反制装备","公开信息未披露","公开信息未披露",,"安徽中云智能科技有限公司","2025年12月1日","B-公开转载","https://hunan.bidizhaobiao.com/info-750910893.html","无人机反制 设备采购项目( 中标公告 )-湖南招标网 2025年12月1日 - 项目编号 2025-JJDCBB-W4050 资质要求 - 招标/采购内容 成交 金额 2.33万元 中标 单位 . 供应商 名称:安徽中云智能科技有限公司... hunan.bidizhaobiao.com 反馈"
"无人机反制 设备采购项目 中标 成交结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月4日","B-公开转载","https://www.bidcenter.com.cn/news-398309565-4.html","无人机反制 设备采购项目 中标 成交结果 公告 -采招网 2026年1月4日 - 品目编号 品目 名称 采购标的 品牌 规格型号 数量(单位) 单价(元) A* A* 无线电 反制 设备 便携式 无人机 察打一体设备 历正 潜盾W-D 1(套) * 五、评审... www.bidcenter.com.cn 反馈"
