"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Confidence","Source"
"无人机反制 设备中标结果-销邦招标平台 2026年4月1日","公开信息未披露","侦测反制服务/租赁","无人机反制 设备中标结果-销邦招标平台 2026年4月1日 无人机反制 设备中标结果-销邦招标平台 2026年4月1日 - 项目简介:关于【 无人机反制 设备采购项目】中选结果的 公告 我单位于2026-04-0109:30:00,在线上选取为【崇仁县公安局","公开信息未披露",,"公开信息未披露","2026年4月1日","B-公开转载","https://www.ixbang.com/bid/detail/3C831D33919D937FC2E8DA122B0151D4.html"
"贵阳市公安局省委办公区无人机侦测反制设备项目的中标(成交)结果公告","贵州","公共安全/军警安防","贵阳市公安局省委办公区无人机侦测反制设备项目的中标(成交)结果公告 贵阳市公安局","公开信息未披露",,"公开信息未披露","公开信息未披露","B-公开转载","http://www.zgjazb.com/zhaobiaocaigou/show-14321.html"
"无人机反制 设施检测系统项目中标 成交 结果 公告","北京","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2024年7月2日","B-公开转载","https://www.bidcenter.com.cn/news-294800126-4.html"
"某单位便携式 无人机反制 枪 成交公告","公开信息未披露","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2024年12月25日","B-公开转载","https://www.bidcenter.com.cn/news-331919403-4.html"
"某单位 无人机反制 设备采购项目(中标 公告","江...","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://js.bidizhaobiao.com/info-747498015.html"
"特警大队无人机反制设备采购项目成交公告","北京","公共安全/军警安防","信息","公开信息未披露",,"****","2024年04月08日","B-公开转载","https://www.qianlima.com/bid-412879753.html"
"丰林县公安局 无人机反制 装备比价比价采购 成交公告 2025年11月7日","公开信息未披露","公共安全/军警安防","丰林县公安局","公开信息未披露",,"公开信息未披露","2025年11月7日","B-公开转载","https://www.jianyu360.cn/nologin/content/ABCY1xrdikFGSg7JGd0dXUJJSQ4QCFjYXx0KTggOSEwXlVwHAFUCXE%3D.html"
"定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日","浙江","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年3月10日","B-公开转载","https://zj.bidcenter.com.cn/zbcontent-351328614-4.html"
"某部无人机反制系统建设-某部无人机反制系统建设成交结果公告","北京","侦测反制服务/租赁","支付招标代理服务费，代理服务费金额（元）：6750.00；2、公示期限：2025年11月13日至2025年11月17日；3、如对中标结果有异","公开信息未披露",,"点击查看","2025年11月12日","B-公开转载","https://www.qianlima.com/bid-552832326.html"
"长沙市公安局天心分局警保卫大队关于无人机反制服务的竞价竞价成交公告","北京","侦测反制服务/租赁","信息","公开信息未披露",,"公开信息未披露","2026年01月28日","B-公开转载","https://www.chinamae.com/purchases/e6acdaa5c2b53548354b67324ab1c7e8.html"
"贵阳市 无人机反制 设备竞价 成交公告","贵州","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年8月12日","B-公开转载","https://gz.bidcenter.com.cn/zbcontent-373871343-4.html"
