"项目ID","省份","省内城市区域","项目名称","发包采购单位","承建中标单位","中标公告时间","年份","设备序号","设备名称","设备类型","数量","单位","品牌","规格型号","明细依据","明细置信度","来源链接"
"LA-2023-0071","陕西","延安","延安市公安局采购无人机反制枪及租赁无人机反制阵地项目","延安市公安局","西安宇航者创新科技有限公司","2023-03-17","2023","1","无人机反制枪","便携/手持反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称披露设备名称；数量未披露","中","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610601/gpx-bidcore/2023/3/17/8a69c883865ceb1d0186eecd493c4bad.pdf?accessCode=e0771c16fa46abf11b4fd6cbb9a6e929"
"LA-2023-0071","陕西","延安","延安市公安局采购无人机反制枪及租赁无人机反制阵地项目","延安市公安局","西安宇航者创新科技有限公司","2023-03-17","2023","2","无人机反制阵地租赁","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","项目名称披露阵地租赁；按项目服务包口径","中","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610601/gpx-bidcore/2023/3/17/8a69c883865ceb1d0186eecd493c4bad.pdf?accessCode=e0771c16fa46abf11b4fd6cbb9a6e929"
"LA-2025-0072","陕西","陕西省","购买 无人机反制设备 ( 中标公告","公开信息未披露","公开信息未披露","2025年12月1日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://shaanxi.bidizhaobiao.com/info-717597249.html"
"LA-2025-0073","陕西","石泉","石泉县公安局无人机反制设备采购项目中标（成交）结果公告","石泉县公安局","公开信息未披露","2025年09月30日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202509/t20250930_25447729.htm"
"LA-2025-0074","陕西","未识别","无人机反制设备采购结果公告（2025-JKFDLB-W3023）","公开信息未披露","天津云翔无人机科技有限公司","2025年12月17日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/detail/495198984b24e40eaabd.html"
"LA-2025-0075","陕西","铜川","铜川市公安局无人机反制设备采购项目","铜川市公安局","北京历正科技有限责任公司","2025-11-27","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/ZF_JGBM_000003/610201/2025/11/27/8a69c6d69aa4903f019abde646f72230/gpx-bidconfirm/8a69c5549a644c2c019b347948ff3a9a.pdf?accessCode=4866108c672b419e9b624d67ca946cd0"
"LA-2025-0076","陕西","未识别","无人机反制 设备项目( 中标公告","公开信息未披露","北京中宇万通科技股份有限公司","2025年12月1日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://shaanxi.bidizhaobiao.com/info-729987342.html"
"LA-2025-0077","陕西","西安","******","公开信息未披露","公开信息未披露","2025年09月23日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.chinamae.com/purchases/c19cea9e9971d343612d7ae4fe77f8a3.html"
"LA-2026-0078","陕西","西安咸阳","西安咸阳国际机场股份有限公司无人机反制车租赁项目","西安咸阳国际机场股份有限公司","公开信息未披露","2026年1月5日","2026","1","无人机反制车","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-398824934-4.html"
"LA-2024-0079","上海","青浦","上海市公安局青浦分局无人机反制阵地系统租赁服务","上海市公安局青浦分局","公开信息未披露","2024-05-10","2024","1","无人机反制阵地系统租赁服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","项目名称披露阵地系统租赁服务；具体设备数量未披露","中","https://www.ode119.com/zhaobiao/89312.html"
"LA-2024-0080","上海","长宁","2024年度至2025年度长宁公安分局无人机侦测反制设备租赁项目","上海市公安局长宁分局","上海新世纪科技有限公司","2024-11-11","2024","1","无人机侦测反制设备租赁服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","中国政府采购网成交公告主要标的信息；具体设备数量未披露","中","https://www.ccgp.gov.cn/cggg/dfgg/cjgg/202411/t20241111_23584081.htm"
"LA-2023-0081","四川","成都","某部无人机反制设备采购中标公告","某部","四川省商投信息技术有限责任公司","2023年12月22日","2023","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/zygg/zbgg/202312/t20231222_21326133.htm"
"LA-2024-0082","四川","成都","成都市公安局无人机反制装备采购项目（二次）","成都市公安局","成都鸿安泰达科技发展有限公司","2024-10-16","2024","1","无人机反制装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20241016/8a69ce909271d3f20192937b363d1071.html"
"LA-2024-0083","四川","绵阳","绵阳市公安局经济技术开发区分局 无人机反制设备中标（成交）结果公告","绵阳市公安局经济技术开发区分局","公开信息未披露","2024年12月03日","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202412/t20241203_23775431.htm"
"LA-2025-0084","四川","成都","成都世运会无人机无线电反制设备管控服务项目","成都市无线电监测站","天维讯达（四川）科技有限公司","2025-07-10","2025","1","无人机无线电反制设备管控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","四川公共资源交易/四川政府采购中标公告主要标的信息；具体设备数量未披露","中","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250710/8a69cb7697ee71240197f26715345e73.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","1","无人机频谱侦测设备","侦测探测设备","2","套","安则","An-Wscan-S","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","2","固定式无人机反制设备","固定式反制/防御设备","2","套","安则","An-Jam-03G","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","3","察打一体无人机反制设备","察打一体侦测反制设备","1","套","安则","An-DJS","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","4","便携式察打一体反制设备","察打一体侦测反制设备","2","套","安则","An-DJ","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","5","手持式无人机反制设备","便携/手持反制设备","4","套","安则","Auav-b01","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","6","无人机智能管控平台","系统平台/管控软件","1","套","安则","AZMS-V1","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","7","终端","配套计算/显示终端","3","台","Inspur 浪潮","NF5280M5","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","8","无人机1","配套无人机/训练靶机","2","台","DJI","Mavic 3 Pro","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","9","无人机2","配套无人机/训练靶机","2","台","DJI","Mini 4 Pro","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2025-0085","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","成都构玩居游乐设备有限公司","2025-07-29","2025","10","DIY穿越机","配套无人机/训练靶机","2","台","光烨","定制","四川公共资源交易/四川政府采购中标公告主要标的信息","高","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html"
"LA-2023-0086","未识别","未识别","基站式 无人机反制 设备采购项目 中标 结果 公告","公开信息未披露","公开信息未披露","2023年2月10日","2023","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202302/t20230210_19438686.htm"
"LA-2024-0087","未识别","未识别","某单位便携式 无人机反制 枪 成交公告","某单位","公开信息未披露","2024年12月25日","2024","1","反制枪","便携/手持反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-331919403-4.html"
"LA-2024-0088","未识别","未识别","特警大队无人机反制设备采购项目成交公告","公开信息未披露","公开信息未披露","2024年04月08日","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.qianlima.com/bid-412879753.html"
"LA-2024-0089","未识别","未识别","无人机反制 设备采购项目中标结果 公告","公开信息未披露","公开信息未披露","2024年12月6日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://m.bidcenter.com.cn/news-4-327448124.html"
"LA-2024-0090","未识别","未识别","无人机反制 设施检测系统项目中标 成交 结果 公告","公开信息未披露","公开信息未披露","2024年7月2日","2024","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/news-294800126-4.html"
"LA-2025-0091","未识别","未识别","******","公开信息未披露","公开信息未披露","2025年09月23日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.chinamae.com/purchases/567ae03600cb204b61a6bdc2ff593907.html"
"LA-2025-0092","未识别","未识别","•某部 无人机反制 装备采购项目 中标 结果 公告","公开信息未披露","公开信息未披露","2025年1月8日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.zhaobiaoziyuan.com/detail/677e4b19044491747fb1370a.html"
"LA-2025-0093","未识别","未识别","采购 无人机反制 设备竞价 成交公告","...","公开信息未披露","2025年6月8日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://rl.zhaobiao.cn/succeed_v_dfb78bc391885e3ad7dad921b06ddd6a.html"
"LA-2025-0094","未识别","未识别","车载 无人机反制 系统改装 中标公告","公开信息未披露","公开信息未披露","2025年12月3日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/news-393042941-4.html"
"LA-2025-0095","未识别","未识别","关于无人机侦测反制设备采购项目","公开信息未披露","公开信息未披露","2025年12月14日","2025","1","无人机侦测反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/detail/494886464b2e65eaeaed.html"
"LA-2025-0096","未识别","未识别","某部 无人机反制 装备采购项目 中标公告","某部","公开信息未披露","2025年1月8日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://m.zhaobiao.cn/zb/succeed_v_01edfc6375743b888c1d8c49187c29bc.html"
"LA-2025-0097","未识别","未识别","某部无人机反制系统建设-某部无人机反制系统建设成交结果公告","公开信息未披露","公开信息未披露","2025年11月12日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.qianlima.com/bid-552832326.html"
"LA-2025-0098","未识别","未识别","无人机反制 设备第二批采购项目 中标 成交结果 公告","公开信息未披露","公开信息未披露","2025年9月17日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/newscontent-379582703-4.html"
"LA-2025-0099","未识别","未识别","无人机反制器材竞价成交公告","某单位","公开信息未披露","2025年08月14日","2025","1","无人机反制器材","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/article/73683688"
"LA-2025-0100","未识别","未识别","无人机反制枪采购项目","公开信息未披露","公开信息未披露","2025年07月29日","2025","1","无人机反制枪","便携/手持反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.qianlima.com/bid-526557419.html"
"LA-2025-0101","未识别","未识别","无人机反制设备 采购 中标公告","公开信息未披露","公开信息未披露","2025年6月10日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/newscontent-360279871-4.html"
"LA-2025-0102","未识别","未识别","无人机反制系统 采购( 中标公告","公开信息未披露","公开信息未披露","2025年12月1日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://bj.bidizhaobiao.com/info-715431177.html"
"LA-2025-0103","未识别","未识别","无人机反制系统采购项目","公开信息未披露","公开信息未披露","2025年03月06日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.qianlima.com/bid-489164406.html"
"LA-2026-0104","未识别","未识别","固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日","公开信息未披露","公开信息未披露","2026年4月2日","2026","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.chinabidding.cn/zbgs/U-vzrodMB.html"
"LA-2026-0105","未识别","未识别","无人机 及 无人机反制设备 采购项目 中标公告","公开信息未披露","公开信息未披露","2026年1月27日","2026","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-403044302-4.html"
"LA-2026-0106","未识别","未识别","无人机反制 设备采购项目 中标 成交结果 公告","公开信息未披露","公开信息未披露","2026年1月4日","2026","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/news-398309565-4.html"
"LA-2026-0107","未识别","未识别","无人机反制 设备竞价 成交公告","公开信息未披露","公开信息未披露","2026年1月7日","2026","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.okcis.cn/20260107-n3-20260107180632501265.html"
"LA-2024-0108","新疆","未识别","无人机反制 设备竞价 成交公告","公开信息未披露","公开信息未披露","2024年9月11日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html"
"LA-2024-0109","新疆","乌什","乌什县公安局购买无人机反制装备采购项目（二次）","乌什县公安局","公开信息未披露","2024年9月27日","2024","1","无人机反制装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://xinjiang.zhaobiao.cn/succeed_v_100563878.html"
"LA-2024-0110","新疆","新疆维吾尔自治区","某单位无人机反制系统采购项目中标公告","某单位","星际控股集团有限公司","2024年05月28日","2024","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202405/t20240528_22217790.htm"
"LA-2025-0111","新疆","巴音郭楞","无人机反制设备采购竞价成交公告","新疆维吾尔自治区巴音郭楞某单位","新疆轩志信息科技有限公司","2025年02月25日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.jianyu360.cn/article/bdprivate/BVrMiE7ZXMBZQ4oJCc7NCMKH3FlXU8OWRYgKyMjBwJVeXZ1IApcB%2BA%3D.html"
"LA-2025-0112","新疆","昌吉","无人机反制设备（第二批）采购项目中标(成交)结果公告","昌吉回族自治州公安局","公开信息未披露","2025年09月18日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202509/t20250918_25371641.htm"
"LA-2025-0113","新疆","达坂城","达坂城区 无人机反制 系统竞价 成交公告","公开信息未披露","公开信息未披露","2025年5月23日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://xj.bidcenter.com.cn/zbcontent-356752206-4.html"
"LA-2025-0114","新疆","克州","克州GAJ（特警支队）无人机反制侦测相关设备采购项目","克州GAJ（特警支队）","新疆尚维飞创电子科技有限公司","2025年12月1日","2025","1","手持无人机侦测设备","侦测探测设备","4","套","锐盾","RD-H2L","证据摘要披露“手持无人机侦测设备 锐盾 RD-H2L 4”","中","https://xj.bidizhaobiao.com/info-599920271.html"
"LA-2025-0115","新疆","墨玉","墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日","公开信息未披露","公开信息未披露","2025年12月17日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/news-396480806-4.html"
"LA-2025-0116","新疆","未识别","无人机反制系统及无人机机场式巡逻系统采购项目","兵团第二单位","公开信息未披露","2025年10月30日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.chinabiddingzb.com/read-670286095.html"
"LA-2025-0117","新疆","乌鲁木齐","无人机反制系统采购项目","某单位","新疆乾元商贸有限公司","2025-03-28","2025","1","无人机反制系统","察打一体侦测反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202503/t20250328_24369730.htm"
"LA-2026-0118","新疆","玛纳斯","玛纳斯县GAJ警用无人机反制设备竞价成交公告","公开信息未披露","公开信息未披露","2026年04月10日","2026","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.qianlima.com/bid-588543827.html"
"LA-2026-0119","新疆","未识别","无人机反制系统 设备采购项目采购结果公示(2026-JLJFEC-W1001)_ 中标 ... 2026年3月25日","公开信息未披露","公开信息未披露","2026年3月25日","2026","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://rl.zhaobiao.cn/succeed_v_7ecc2fca91799410860f6baa0ac780d5.html"
"LA-2024-0120","云南","未识别","某部无人机反制装备采购项目中标结果公告","某部","中国联合网络通信有限公司西双版纳傣族自治州分公司","2024年12月18日","2024","1","无人机反制装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.jianyu360.cn/article/bdprivate/BGFMiE8dnNJYQgxNF47NCMKH3FlXU8OWRYgPBk3CgJVQ3R1JwpcCG0%3D.html"
"LA-2025-0121","云南","昆明","昆明市 无人机反制设备 采购项目 中标 结果 公告","(略)","公开信息未披露","2025年10月16日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://yn.bidcenter.com.cn/zbcontent-384156006-4.html"
"LA-2025-0122","云南","昆明","昆明市公安局西山分局无人机反制设备采购项目中标结果公告","昆明市公安局西山分局","浙江凡双科技股份有限公司","2025年10月16日","2025","1","无人机反制设备","固定式反制/防御设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202510/t20251016_25519531.htm"
"LA-2025-0123","云南","未识别","某部无人机反制装备采购项目","某部","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","2025","1","无人机反制装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.163.com/dy/article/JLD42AML05317V0G.html"
"LA-2025-0124","云南","未识别","某部无人机反制装备采购项目中标公告","某部","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","2025","1","无人机反制装备","侦测探测设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://yn.zhiliaobiaoxun.com/article/49584401"
"LA-2023-0125","浙江","杭州","浙江工商大学文体中心亚运手球馆无人机反制预警设备租赁服务","浙江工商大学","公开信息未披露","2023-05-24","2023","1","无人机反制预警设备租赁服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","项目名称披露租赁服务；具体设备数量未披露","中","https://cgzx.zjgsu.edu.cn/4738/list35.psp"
"LA-2023-0126","浙江","温州","瑞安市公安局便携式无人机防御反制设备采购项目","瑞安市公安局","中国联合网络通信有限公司温州市分公司","2023-07-17","2023","1","无人机防御反制设备","便携/手持反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.fdzb119.com/zhaobiao/70037.html"
"LA-2023-0127","浙江","温州","温州奥体中心安保专项-无人机反制设备采购项目","温州市龙湾区体育事业发展中心","中国联合网络通信有限公司温州市分公司","2023-08-21","2023","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://ggzyjy-eweb.wenzhou.gov.cn/art/2023/8/21/art_1229678301_28546.html"
"LA-2024-0128","浙江","海盐","海盐县公安局 无人机反制 设备采购项目( 中标公告","海盐县公安局","公开信息未披露","2024年11月20日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","http://zj.bidizhaobiao.com/info-557598739.html"
"LA-2024-0129","浙江","绍兴","绍兴市公安局上虞区分局无人机反制设备采购项目（第二次）","绍兴市公安局上虞区分局","苏州璟鞍科技有限公司","2024-08-08","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.fdzb119.com/zhaobiao/111762.html"
"LA-2024-0130","浙江","舟山","无人机侦测反制设备采购（重新招标）","公开信息未披露","中国电信股份有限公司舟山分公司","2024-11-02","2024","1","无人机侦测反制设备","侦测探测设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zgggzy.com/jieguo/show.php?itemid=30831"
"LA-2025-0131","浙江","定海","定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日","某单位","公开信息未披露","2025年3月10日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://zj.bidcenter.com.cn/zbcontent-351328614-4.html"
"LA-2025-0132","浙江","杭州","浙江警官职业学院监狱无人机探测与反制实训系统建设项目","浙江警官职业学院","公开信息未披露","2025-12-04","2025","1","无人机探测与反制实训系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zjjy.com.cn/info/1068/40874.htm"
