"主需求类别","兼具需求类别","软硬件属性","分类依据","分类置信度","项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0043","江苏","未识别","无人机反制 设备(中标 公告","侦测反制服务/租赁","中标/成交结果","是","公开信息未披露","公开信息未披露","","江苏中瀚工程项目管理咨询有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://js.bidizhaobiao.com/info-527019076.html","无人机反制 设备(中标 公告 )-江苏招标网 2025年12月1日 - 登录即可查看 2.采购代理机构信息 名称 :江苏中瀚工程项目管理咨询有限公司 地址:徐州市泉山区矿大科技园泉山科技楼南四楼 联系方式:登录即可查看 3.项... js.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制/低空管控服务","服务/租赁","无人机侦测反制/低空管控服务：1项服务","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断服务包；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0044","江苏","未识别","无人机反制 设备采购( 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","236000.00 (元)","","云上筋斗(南京)科技有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://shaanxi.bidizhaobiao.com/info-745858052.html","无人机反制 设备采购( 中标公告 )-陕西招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 :.第一名:云上筋斗(南京)科技有限公司 ,报价形式:总价 ,报价 金额 :236000.00 (元) ;. 供应商 对预中标(成交)结果如有异议,应当自... shaanxi.bidizhaobiao.com 反馈","依据项目名/采购人/证据摘要从[陕西]校正为[江苏]","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","含公安巡防/常态监管关键词","高","LA-2026-0045","江苏","连云港","连云港市公安局车载式无人机反制系统购买中标公告","侦测反制系统/平台","中标/成交结果","是","连云港市公安局","公开信息未披露","","公开信息未披露","2026年4月3日","2026","B-公开转载/行业平台","较完整","https://www.zhiliaobiaoxun.com/article/95096299","连云港市公安局车载式 无人机反制系统 购买 中标公告 2026年4月3日 - 项目名称: 连云港市公安局车载式 无人机反制系统 购买 中标公告 招标公司: 连云港市公安局 中标公司: 江苏丰东信息科技有限公司 采购标的物: 车载式 无人 ... www.zhiliaobiaoxun.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[江苏]","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","含敏感目标或重点设施关键词","高","LA-2026-0046","江苏","南京","江苏省龙潭监狱无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","江苏省龙潭监狱","2.8789 万元","2.8789","南京冠航智能科技有限公司","2026-02-06","2026","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：江苏省龙潭监狱无人机反制设备采购，成交金额28789元。","补充检索新增；监狱敏感目标类","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0047","江西","南昌","南昌市 无人机反制 装备项目采购公告竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","10.4500 万元","10.45","公开信息未披露","2025年12月9日","2025","B-公开转载/行业平台","较完整","https://jx.bidcenter.com.cn/zbcontent-394187096-4.html","南昌市 无人机反制 装备项目采购公告竞价 成交公告 -江西招标网 2025年12月9日 - 成交 供应商 名称 、联系地址及 成交 金额:.总 成交 金额:10.45 (万元)... jx.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","含公安巡防/常态监管关键词","高","LA-2026-0048","江西","崇仁","崇仁县公安局无人机反制设备采购项目","侦测反制服务/租赁","中标/成交结果","是","崇仁县公安局","公开信息未披露","","公开信息未披露","2026年4月1日","2026","B-公开转载/行业平台","较完整","https://www.ixbang.com/bid/detail/3C831D33919D937FC2E8DA122B0151D4.html","销邦招标平台转载结果显示：关于无人机反制设备采购项目中选结果的公告，在线选取采购单位为崇仁县公安局，发布时间2026年4月1日。","修正：原发包采购单位字段误入整段转载摘要，按摘要中“崇仁县公安局”更正","无人机反制设备","系统平台/管控软件","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2026-0049","江西","南昌","赣江新区公安局无人机侦测预警设备采购项目","侦测反制装备","中标/成交结果","是","赣江新区公安局","92.5000 万元","92.5","鉴真防务技术（上海）有限公司","2026-01-20","2026","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标聚合页披露：赣江新区公安局无人机侦测预警设备采购项目结果变更，中标金额925000元，中标单位鉴真防务技术（上海）有限公司。","人工核验补充；待回溯江西公共资源原文","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2025-0050","辽宁","抚顺","采购无人机反制设备结果公告","侦测反制装备","中标/成交结果","是","抚顺市公安局","公开信息未披露","","安徽金龙泰安安全设备有限公司","2025年8月27日","2025","B-公开转载/行业平台","较完整","https://www.bid110.com/view/105/5sd16pgBVX3Ep-cz3XON.html","采购 无人机反制设备 结果 公告 _招标详情 2025年8月27日 - 项目名称 采购 无人机 反制设备 省份/直辖市 辽宁 地区 .公安招标 无人机 招标中标信息.自本 公告 发布之日起 1 个工作日。... www.bid110.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[山东]","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0051","辽宁","未识别","无人机反制 设备采购( 中标公告 )-辽宁招标网 2025年12月1日","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","待复核","https://ln.bidizhaobiao.com/info-759674880.html","无人机反制 设备采购( 中标公告 )-辽宁招标网 2025年12月1日 - 供应商分析报告的作用:1、帮助您分析同行或者自身的 中标 金额趋势、项目规模和 报价 下浮率,为企业投标、 报价 提供参考,让投标决策更合理;.业主版分析报告... ln.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0052","辽宁","未识别","无人机反制设备中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年01月17日","2025","B-公开转载/行业平台","较完整","https://www.qianlima.com/bid-481110012.html","无人机反制 设备 中标公告 -千里马招标网 2025年1月17日 - 一、项目 名称 :无人机 反制 设备.结果- 中标 通知辽宁-大连发布时间:2025年01月17日... www.qianlima.com 反馈","修正：原发包采购单位字段误入评审确认语，公开摘要未识别采购主体","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","含敏感目标或重点设施关键词；含公安巡防/常态监管关键词","高","LA-2026-0053","辽宁","沈阳","沈阳铁路公安局无人机反制系统采购项目中标公告","侦测反制系统/平台","中标/成交结果","是","沈阳铁路公安局","224.9850 万元","224.985","北京延创科技有限责任公司","2026年4月3日","2026","B-公开转载/行业平台","完整","https://www.zhiliaobiaoxun.com/article/95098321","沈阳铁路公安局 无人机反制系统 采购项目 中标公告 2026年4月3日 - 无人机 反制系统项目地区:辽宁 沈阳. 中标 (成交)金额:224.9850000(万元)... www.zhiliaobiaoxun.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[辽宁]","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2023-0054","内蒙古","鄂尔多斯","鄂尔多斯市公安局采购无人机侦测反制设备项目","侦测反制装备","中标/成交结果","是","鄂尔多斯市公安局","126.2000 万元","126.2","河北疆来科技有限公司","2023-06-30","2023","A-官方公告/公共资源","完整","https://www.ordosggzyjy.org.cn/TPFront/InfoDetail/?InfoID=48b84f25-1b20-4e52-87f4-e31b90bbd6bb&CategoryNum=005002003","鄂尔多斯公共资源交易公开结果披露：采购无人机侦测反制设备项目，中标金额126.2万元。","人工核验补充","无人机侦测反制设备","侦测反制装备/设备","无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0055","内蒙古","呼和浩特","呼和浩特市某单位 无人机反制 设备采购项目 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","中科星图慧安科技有限公司","2025年12月15日","2025","B-公开转载/行业平台","较完整","https://www.chinabidding.cn/zbgs/U-vzeIGYx.html","呼和浩特市某单位 无人机反制 设备采购项目 成交公告 -采购与招标网(www.... 2025年12月15日 - 序号 供应商 名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 中科星图慧安科技有限公司 无人机 反制设备 理工全盛 BAT-H1030 2套 400-006-66... www.chinabidding.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","含公安巡防/常态监管关键词","高","LA-2025-0056","内蒙古","康巴什","康巴什区中轴线无人机反制系统建设项目","侦测反制系统/平台","中标/成交结果","是","鄂尔多斯市公安局康巴什分局","380.3522 万元","380.3522","中移系统集成有限公司","2025-08-21","2025","B-公开转载/行业平台","完整","https://www.zcbx.xyz/index.php?v=show&cid=93&id=654079","公开转载中标结果披露：康巴什区中轴线无人机反制系统建设项目，中标金额3803522元。","人工核验补充；待回溯内蒙古政府采购原文","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","含敏感目标或重点设施关键词","高","LA-2025-0057","内蒙古","未识别","某部采购 无人机反制设备 ( 中标公告","侦测反制装备","中标/成交结果","是","某部","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://nmg.bidizhaobiao.com/info-715218996.html","某部采购 无人机反制设备 ( 中标公告 )-内蒙古招标网 2025年12月1日 - 一、项目名称:某部采购 无人机 反制设备.企业报告(供应商版)1、帮助您分析同行或者自身的 中标 金额趋势、项目规模和报价下浮率,为企业投标、报价提供参考... nmg.bidizhaobiao.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2026-0058","内蒙古","未识别","特种指挥车辆及 无人机反制设备中标 成交结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年1月6日","2026","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-399071504-4.html","特种指挥车辆及 无人机反制设备中标 成交结果 公告 -采招网 2026年1月6日 - 二、项目名称:特种指挥车辆及 无人机 反制设备.供应商名称 供应商地址 评审方法 是否价格扣除 中标 (成交)金额 评审总得分 内蒙 (略) 内蒙 (略) (略) (略... www.bidcenter.com.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","含公安巡防/常态监管关键词","高","LA-2025-0059","宁夏","石嘴山","石嘴山市公安局无人机教培、警务应用及反制项目","侦测反制系统/平台","中标/成交结果","是","石嘴山市公安局","公开信息未披露","","宁夏中宇网安科技有限公司","2025-05-09","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：无人机教培、警务应用及反制项目，中标单位宁夏中宇网安科技有限公司。","补充检索新增；待回溯宁夏政府采购原文","无人机教培、警务应用及反制项目","系统平台/管控软件","无人机教培、警务应用及反制项目：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0060","青海","未识别","某单位 无人机反制系统 采购( 中标公告","侦测反制系统/平台","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://qh.bidizhaobiao.com/info-725700531.html","某单位 无人机反制系统 采购( 中标公告 )-青海招标网 2025年12月1日 - 2、帮助您了解代理机构的项目分布情况(包括采购 系统 和地区),分析目标企业的市场占比,寻找更多市场机会;.供应商分析报告的作用:1、帮助您分析同行或者... qh.bidizhaobiao.com 反馈","继承原库并规则复核","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2023-0061","山东","山亭","山亭公安分局无人机反制装备项目","侦测反制装备","中标/成交结果","是","山亭公安分局","公开信息未披露","","公开信息未披露","2023年12月22日","2023","B-公开转载/行业平台","较完整","https://m.bidcenter.com.cn/newsrili-4-265755663.html","采招网转载结果页显示无人机反制装备中标结果，发布时间2023年12月22日，摘要可识别采购主体为山亭公安分局。","修正：原发包采购单位字段误入转载标题和关注语，按摘要可识别主体更正","无人机反制装备","侦测反制装备/设备","无人机反制装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","含敏感目标或重点设施关键词","高","LA-2024-0062","山东","东营","东营机场无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","东营机场","公开信息未披露","","公开信息未披露","2024年12月9日","2024","B-公开转载/行业平台","较完整","https://sd.bidizhaobiao.com/info-567616680.html","山东招标网转载成交公告显示：项目名称为东营机场无人机反制设备采购项目，项目编号SDYT2024-089#，公告日期2024年12月9日。","修正：原发包采购单位字段误入整段转载摘要，按项目名称和摘要中明确主体更正","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2024-0063","山东","济南","济南市公安局特巡警支队 无人机反制 设备项目 中标公告","侦测反制装备","中标/成交结果","是","济南市公安局特巡警支队","公开信息未披露","","公开信息未披露","2024年7月18日","2024","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/news-298684773-4.html","公开转载中标公告显示：济南市公安局特巡警支队无人机反制设备项目，公告日期2024年7月18日。","修正：原发包采购单位字段重复拼入项目标题，已保留明确采购主体","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2024-0064","山东","禹城","禹城市公安局无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","禹城市公安局","公开信息未披露","","山东品美信息科技有限公司","2024年12月6日","2024","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/news-329016404-4.html","采招网转载中标结果摘要显示：项目名称为禹城市公安局无人机反制设备采购项目，发布时间2024年12月6日，中标单位为山东品美信息科技有限公司。","修正：原发包采购单位字段误入整段采招网转载摘要，按摘要中明确采购主体更正","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0101","未识别","未识别","无人机反制设备 采购 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年6月10日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/newscontent-360279871-4.html","无人机反制设备 采购 中标公告 -采招网 2025年6月10日 - 九、凡对本次 公告 内容提出询问,请按以下方式联系。.受业主委托,中国采招网于 2025/6/10 发布 无人机反制设备 采购 中标公告 ;项目简介: 中标结果公告 一、... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0066","山东","未识别","无人机反制 设备租赁服务( 中标公告","侦测反制服务/租赁","合同公告","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年1月3日","2025","B-公开转载/行业平台","待复核","https://sd.bidizhaobiao.com/info-579941578.html","无人机反制 设备租赁服务( 中标公告 )-山东招标网 2025年1月3日 - 二、合同 名称 :无人机 反制 设备租赁服务.主要标的 名称 规格型号(或服务要求)主要标的数量主要标的单价合同 金额 (万元). 供应商 (乙方):山东辰浩宏源智能科技... sd.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制/低空管控服务","服务/租赁","无人机侦测反制/低空管控服务：1项服务","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断服务包；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0067","山西","保德","保德县 无人机反制设备 采购 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月18日","2025","B-公开转载/行业平台","待复核","https://sxs.bidcenter.com.cn/zbcontent-395864964-4.html","保德县 无人机反制设备 采购 中标公告 -山西招标网 2025年12月18日 - 二、项目名称:保 (略) 无人机 反制设备采购.保德***安局[登陆后查看] 中标 单位 .序号 标项名称 标的名称 品牌 规格型号 数量 单价 1 保 (略) 无人机 反制... sxs.bidcenter.com.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2025-0068","山西","介休","介休市公安局 无人机 及 无人机反制 设备采购( 中标公告","侦测反制装备","中标/成交结果","是","介休市公安局","公开信息未披露","","公开信息未披露","2025年7月16日","2025","B-公开转载/行业平台","较完整","https://shanxi.bidizhaobiao.com/info-651819174.html","介休市公安局 无人机 及 无人机反制 设备采购( 中标公告 )-山西招标网 2025年7月16日 - 序号 标项 名称 标的 名称 品牌 规格型号 数量 单价 1 介休市公安局 无人机 及无人机反制设备采购 介休市公安局 无人机 及无人机反制设备采购 详见附件报价... shanxi.bidizhaobiao.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2025-0069","山西","太原","保德县公安局无人机反制设备采购结果公告","侦测反制装备","中标/成交结果","是","保德县公安局","41.7000 万元","41.7","公开信息未披露","2025年12月17日","2025","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251217_25943334.htm","保德县公安局 无人机反制设备 采购结果 公告 2025年12月17日 - 二、项目名称:保德县公安局 无人机反制设备 采购.序号 供应商名称 供应商地址 中标 (成交)金额 评审总得分 1 太原市鸿台科技有限公司 南内环98-2... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0070","山西","太原","太原市晋阳公寓 无人机反制系统 二次合同 公告","侦测反制系统/平台","合同公告","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年9月19日","2025","B-公开转载/行业平台","待复核","https://sxs.bidcenter.com.cn/zbcontent-380003709-4.html","太原市晋阳公寓 无人机反制系统 二次合同 公告 -山西招标网 2025年9月19日 - 晋阳公寓 无人机 合同.pdf晋阳公寓 无人机 反制系统(二次)合同(11N*2).pdf查看更多 中标 单位:.二、合同名称:晋阳公寓 无人机 反制系统(二次)合同... sxs.bidcenter.com.cn 反馈","继承原库并规则复核","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","含赛事/活动/安保保障/阵地租赁关键词；含公安巡防/常态监管关键词","高","LA-2023-0071","陕西","延安","延安市公安局采购无人机反制枪及租赁无人机反制阵地项目","侦测反制服务/租赁","中标/成交结果","是","延安市公安局","202.0000 万元","202.0","西安宇航者创新科技有限公司","2023-03-17","2023","A-官方公告/公共资源","完整","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610601/gpx-bidcore/2023/3/17/8a69c883865ceb1d0186eecd493c4bad.pdf?accessCode=e0771c16fa46abf11b4fd6cbb9a6e929","陕西政府采购PDF披露：采购无人机反制枪及租赁无人机反制阵地，中标供应商西安宇航者创新科技有限公司，中标总价2020000元。","漏检补充；阵地租赁/活动保障能力项目","无人机反制枪；无人机反制阵地租赁","便携/手持反制设备；服务/租赁","无人机反制枪：公开信息未披露；无人机反制阵地租赁：1项服务","公开信息未披露","公开信息未披露","部分明细","项目名称披露设备名称；数量未披露；项目名称披露阵地租赁；按项目服务包口径","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0072","陕西","陕西省","购买 无人机反制设备 ( 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","待复核","https://shaanxi.bidizhaobiao.com/info-717597249.html","购买 无人机反制设备 ( 中标公告 )-陕西招标网 2025年12月1日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.项目所在地:陕西省 项目类别:物资 采购方式:询价 我部对购买 无人机 ... shaanxi.bidizhaobiao.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
