"主需求类别","兼具需求类别","软硬件属性","省份","省内城市区域","项目名称","发包采购单位","项目金额","承建中标单位","中标公告时间","来源等级","字段完整度","来源链接","核验备注"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未识别","未识别","无人机 及 无人机反制设备 采购项目 中标公告","公开信息未披露","公开信息未披露","公开信息未披露","2026年1月27日","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-403044302-4.html","脱敏或转载信息不足，未强行归省"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未识别","未识别","无人机反制 设备采购项目 中标 成交结果 公告","公开信息未披露","公开信息未披露","公开信息未披露","2026年1月4日","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-398309565-4.html","脱敏或转载信息不足，未强行归省"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未识别","未识别","无人机反制 设备竞价 成交公告","公开信息未披露","公开信息未披露","公开信息未披露","2026年1月7日","B-公开转载/行业平台","待复核","https://www.okcis.cn/20260107-n3-20260107180632501265.html","脱敏或转载信息不足，未强行归省"
"日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","未识别","无人机反制 设备竞价 成交公告","公开信息未披露","公开信息未披露","公开信息未披露","2024年9月11日","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html","修正：原发包采购单位为“--”，规范为公开信息未披露"
"日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","乌什","乌什县公安局购买无人机反制装备采购项目（二次）","乌什县公安局","公开信息未披露","公开信息未披露","2024年9月27日","B-公开转载/行业平台","较完整","https://xinjiang.zhaobiao.cn/succeed_v_100563878.html","修正：原发包采购单位字段误入项目标题和转载摘要，按明确采购主体更正"
"日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","巴音郭楞","无人机反制设备采购竞价成交公告","新疆维吾尔自治区巴音郭楞某单位","公开信息未披露","新疆轩志信息科技有限公司","2025年02月25日","B-公开转载/行业平台","较完整","https://www.jianyu360.cn/article/bdprivate/BVrMiE7ZXMBZQ4oJCc7NCMKH3FlXU8OWRYgKyMjBwJVeXZ1IApcB%2BA%3D.html","依据项目名/采购人/证据摘要从[北京]校正为[新疆]"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","新疆","达坂城","达坂城区 无人机反制 系统竞价 成交公告","公开信息未披露","24.3000 万元","公开信息未披露","2025年5月23日","B-公开转载/行业平台","较完整","https://xj.bidcenter.com.cn/zbcontent-356752206-4.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","克州","克州GAJ（特警支队）无人机反制侦测相关设备采购项目","克州GAJ（特警支队）","公开信息未披露","新疆尚维飞创电子科技有限公司","2025年12月1日","B-公开转载/行业平台","较完整","https://xj.bidizhaobiao.com/info-599920271.html","修正：原发包采购单位字段误入整段合同摘要，保留可识别采购主体和供应商"
"日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","墨玉","墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日","公开信息未披露","公开信息未披露","公开信息未披露","2025年12月17日","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-396480806-4.html","继承原库并规则复核"
"园区运营需求","敏感目标防护需求；日常巡防需求","软硬件综合/系统平台","新疆","未识别","无人机反制系统及无人机机场式巡逻系统采购项目","兵团第二单位","公开信息未披露","公开信息未披露","2025年10月30日","B-公开转载/行业平台","较完整","https://www.chinabiddingzb.com/read-670286095.html","修正：原发包采购单位字段误入整段转载摘要，按摘要可识别主体更正；具体单位全称待回溯官方原文"
"日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","玛纳斯","玛纳斯县GAJ警用无人机反制设备竞价成交公告","公开信息未披露","公开信息未披露","公开信息未披露","2026年04月10日","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-588543827.html","依据项目名/采购人/证据摘要从[北京]校正为[新疆]"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","新疆","未识别","无人机反制系统 设备采购项目采购结果公示(2026-JLJFEC-W1001)_ 中标 ... 2026年3月25日","公开信息未披露","公开信息未披露","公开信息未披露","2026年3月25日","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_7ecc2fca91799410860f6baa0ac780d5.html","依据项目名/采购人/证据摘要从[未识别]校正为[新疆]"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","云南","未识别","某部无人机反制装备采购项目中标结果公告","某部","公开信息未披露","中国联合网络通信有限公司西双版纳傣族自治州分公司","2024年12月18日","B-公开转载/行业平台","较完整","https://www.jianyu360.cn/article/bdprivate/BGFMiE8dnNJYQgxNF47NCMKH3FlXU8OWRYgPBk3CgJVQ3R1JwpcCG0%3D.html","依据项目名/采购人/证据摘要从[北京]校正为[云南]"
"日常巡防需求","无明显兼具类别","硬件设备/装备","云南","昆明","昆明市 无人机反制设备 采购项目 中标 结果 公告","(略)","公开信息未披露","公开信息未披露","2025年10月16日","B-公开转载/行业平台","较完整","https://yn.bidcenter.com.cn/zbcontent-384156006-4.html","按项目地/采购人修正，供应商所在地不参与归省"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","云南","未识别","某部无人机反制装备采购项目","某部","46.3286 万元","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","B-公开转载/行业平台","完整","https://www.163.com/dy/article/JLD42AML05317V0G.html","修正：原发包采购单位字段误入“网易订阅/框架招标项目”转载栏目名，按项目标题更正为某部"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","云南","未识别","某部无人机反制装备采购项目中标公告","某部","46.3286 万元","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","B-公开转载/行业平台","完整","https://yn.zhiliaobiaoxun.com/article/49584401","依据项目名/采购人/证据摘要从[北京]校正为[云南]"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","浙江","温州","瑞安市公安局便携式无人机防御反制设备采购项目","瑞安市公安局","102.1000 万元","中国联合网络通信有限公司温州市分公司","2023-07-17","B-公开转载/行业平台","完整","https://www.fdzb119.com/zhaobiao/70037.html","继承原库并规则复核；专项样本原文为成交/中标结果页"
"日常巡防需求","无明显兼具类别","硬件设备/装备","浙江","海盐","海盐县公安局 无人机反制 设备采购项目( 中标公告","海盐县公安局","公开信息未披露","公开信息未披露","2024年11月20日","B-公开转载/行业平台","较完整","http://zj.bidizhaobiao.com/info-557598739.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","硬件设备/装备","浙江","绍兴","绍兴市公安局上虞区分局无人机反制设备采购项目（第二次）","绍兴市公安局上虞区分局","50.0000 万元","苏州璟鞍科技有限公司","2024-08-08","B-公开转载/行业平台","完整","https://www.fdzb119.com/zhaobiao/111762.html","继承原库并规则复核；专项样本原文为成交/中标结果页"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","浙江","定海","定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日","某单位","公开信息未披露","公开信息未披露","2025年3月10日","B-公开转载/行业平台","较完整","https://zj.bidcenter.com.cn/zbcontent-351328614-4.html","继承原库并规则复核"
"重大活动保障需求","敏感目标防护需求","硬件设备/装备","浙江","柯桥","柯桥区 无人机反制设备 采购 中标 成交结果 公告","公开信息未披露","公开信息未披露","公开信息未披露","2025年11月21日","B-公开转载/行业平台","待复核","https://zj.bidcenter.com.cn/zbcontent-390623194-4.html","继承原库并规则复核"
"敏感目标防护需求","日常巡防需求","服务/租赁/咨询","浙江","丽水","丽水市公安局丽水机场低空防御服务项目合同","丽水市公安局","公开信息未披露","中国移动通信集团浙江有限公司丽水分公司","2025-12-11","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","补充检索新增；机场敏感目标类"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","浙江","未识别","无人机反制 系统( 中标公告","...","公开信息未披露","公开信息未披露","2025年3月10日","B-公开转载/行业平台","待复核","https://zj.bidizhaobiao.com/info-599355455.html","继承原库并规则复核"
"敏感目标防护需求","日常巡防需求","硬件设备/装备","浙江","普陀","舟山市公安局普陀区分局无人机低空反制设备采购合同","舟山市公安局普陀区分局","302.2722 万元","中国移动通信集团浙江有限公司舟山分公司","2026-01-23","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","人工核验补充；待回溯浙江政府采购合同原文"
